Source;Nom;Adresse;Tel;Fax;Domaine;Site;Email
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;ACTIVA ASSUR MALI;HIPPODROME - AVENUE NELSON MANDELA PORTE 1571 Bamako - Mali;20 21 04 05;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;AGF MALI;AVENUE DE LA NATION Bamako - Mali;20 22 41 65;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;ALLIANZ MALI;Av. de la nation BP E4447;20 24 62 00;;Assurances;http://www.allianz-afrique.com;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;ALLIANZ MALI;coura Avenue de la Nation BP E 4447;20 24 62 00;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;ASSUR6;CENTRE VILLE Bamako - Mali;20 22 23 78;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;ASSURANCE HAMAOULLAH;IMM BAKEBA NIORO Bamako - Mali;66 11 56 79;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;ASSURANCE LAFIA;Imm. Assurances LAFIA, Hamdallaye ACI 2000 BP 1542;20 29 09 40;;Assurances;http://www.assurancelafia.com;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;ASSURANCE SABU NYUMA;Rue 350, Imm. Sabu Nyuman Porte N° 129, Coura BP 1822;20 22 60 29;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;ASSURLAND MALI SARL;ROUTE DE KOULIKORO - LUNA PARC Bamako - Mali;20 21 95 45;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;BALIMAYA ASSUR;BANANKABOUGOU - RUE 778 PORTE 680 Bamako - Mali;20 20 16 65;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;BIM - BANQUE INTERNATIONALE;Boulevard de lIndépendance Bolibana Dravela BP 15;20 22 50 89;;Assurances;http://www.bim.com.ml;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;CDA SARL – CONSORTIUM D’ASSURANCES;ACI 2000 Bamako - Mali;20 29 22 13;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;CIF ASSURANCES VIE MALI;HAMDALLAYE ACI 2000 - RUE 331 BP E 1251;20 22 04 13;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;CIRAS;Residence 2000 Hamdallaye ACI 2000 BP E 2496;20 21 69 33;;Assurances;https://cirasmali.com;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;CNAR;Immeuble SIPROVET ACI 2000 BP 568;20 21 31 17;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;CNAR (CAISSE NOUVELLE D’ASSURANCE ET DE REASSURANCE DU MALI);Quartier du fleuve, Square Lumumba BP 568;20 22 53 69;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;CNAR ASSURANCES;SQUARE PATRICE LUMUMBA BP 568;20 21 31 17;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;CNAR LES ASSURANCES BLEUES;HAMDALLAYE - IMMEUBLE SIPROVET Bamako - Mali;20 22 53 69;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;COLINA MALI SA;Av. Modibo KEITA Bamako, Imm. les 7 villages BP E154;20 22 57 75;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;GASPAR CONSULT;IMMEUBLE GAOUSSOU KONATE - RUE RAYMOND POINTCARRE PORTE 99 Bamako - Mali;20 22 88 86;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;GRAS SAVOYE;QUARTIER DU FLEUVE - IMMEUBLE SOGEFIH - 3EME ETAGE Bamako - Mali;20 22 64 75;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;GRAS SAVOYE;Avenue Moussa Travele BP E 5691;20 22 64 75;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;GROUPE NSIA;Imm. du Patronnat, derrière le Gouvernorat, ACI 2000 BP 1627;20 23 24 40;;Assurances;http://www.groupensia.com;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;HKT ASSURANCES;HAMDALLAYE ACI 2000 - AVENUE DE LA NATION - IMMEUBLE ATATA BABY Bamako - Mali;20 22 77 54;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;LAFIA;Immeuble LAFIA ACI 2000 BP 1542;20 29 09 40;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;LAFIA;Immeuble Assurances LAFIA  Hamdallaye ACI 2000 BP: 1542;20 29 09 40;;Assurances;http://www.assurancelafia.com/;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;NALLIAS;Ouolofobougou Immeuble Babemba BP:E4666;20 22 22 44;;Assurances;;
https://www.goafricaonline.com/ml/annuaire/entreprises-finances;NALLIAS (NOUVELLE ALLIANCE D'ASSURANCE);Imm. Babemba, Ouolofobougou BP E4666;20 22 22 44;;Assurances;;
